Year,Airport,Gateway,Passengers
2022,AUS,IAH,1840.0
2022,AUS,JFK,25743.0
2022,AUS,LAX,42622.0
2022,AUS,MIA,14898.0
2022,AUS,ORD,24832.0
2022,AUS,SEA,19150.0
2022,AUS,SFO,21988.0
2022,BNA,ATL,9285.0
2022,BNA,BOS,22635.0
2022,BNA,DFW,14067.0
2022,BNA,DTW,14578.0
2022,BNA,EWR,17528.0
2022,BNA,IAD,6204.0
2022,BNA,IAH,11774.0
2022,BNA,JFK,10551.0
2022,BNA,LAX,26640.0
2022,BNA,MIA,15144.0
2022,BNA,ORD,20675.0
2022,BNA,SEA,12850.0
2022,BNA,SFO,7518.0
2022,CLE,ATL,20147.0
2022,CLE,BOS,11617.0
2022,CLE,DFW,9458.0
2022,CLE,DTW,343.0
2022,CLE,EWR,10295.0
2022,CLE,IAD,3116.0
2022,CLE,IAH,7612.0
2022,CLE,JFK,4336.0
2022,CLE,LAX,12947.0
2022,CLE,MIA,9294.0
2022,CLE,ORD,11659.0
2022,CLE,SEA,4987.0
2022,CLE,SFO,6740.0
2022,CMH,ATL,12601.0
2022,CMH,BOS,8341.0
2022,CMH,DFW,8518.0
2022,CMH,DTW,586.0
2022,CMH,EWR,7213.0
2022,CMH,IAD,2106.0
2022,CMH,IAH,4552.0
2022,CMH,JFK,4072.0
2022,CMH,LAX,8390.0
2022,CMH,MIA,4365.0
2022,CMH,ORD,8123.0
2022,CMH,SEA,5770.0
2022,CMH,SFO,4553.0
2022,CVG,ATL,8287.0
2022,CVG,BOS,9811.0
2022,CVG,DFW,8443.0
2022,CVG,DTW,948.0
2022,CVG,EWR,9563.0
2022,CVG,IAD,1915.0
2022,CVG,IAH,5083.0
2022,CVG,JFK,2159.0
2022,CVG,LAX,8630.0
2022,CVG,MIA,6140.0
2022,CVG,ORD,6273.0
2022,CVG,SEA,6842.0
2022,CVG,SFO,3974.0
2022,DAY,ATL,3081.0
2022,DAY,BOS,610.0
2022,DAY,DFW,2417.0
2022,DAY,DTW,61.0
2022,DAY,EWR,243.0
2022,DAY,IAD,687.0
2022,DAY,IAH,517.0
2022,DAY,JFK,65.0
2022,DAY,LAX,1005.0
2022,DAY,MIA,513.0
2022,DAY,ORD,2040.0
2022,DAY,SEA,489.0
2022,DAY,SFO,542.0
2022,IND,ATL,13752.0
2022,IND,BOS,10241.0
2022,IND,DFW,9543.0
2022,IND,DTW,1710.0
2022,IND,EWR,9960.0
2022,IND,IAD,3298.0
2022,IND,IAH,5475.0
2022,IND,JFK,4345.0
2022,IND,LAX,10606.0
2022,IND,MIA,5870.0
2022,IND,ORD,2511.0
2022,IND,SEA,7008.0
2022,IND,SFO,6428.0
2022,PIT,ATL,12593.0
2022,PIT,BOS,13559.0
2022,PIT,DFW,8906.0
2022,PIT,DTW,1527.0
2022,PIT,EWR,8494.0
2022,PIT,IAD,1384.0
2022,PIT,IAH,7509.0
2022,PIT,JFK,3747.0
2022,PIT,LAX,8834.0
2022,PIT,MIA,5513.0
2022,PIT,ORD,9130.0
2022,PIT,SEA,6069.0
2022,PIT,SFO,5976.0
2022,RDU,ATL,17911.0
2022,RDU,BOS,24499.0
2022,RDU,DFW,11087.0
2022,RDU,DTW,8455.0
2022,RDU,EWR,17333.0
2022,RDU,IAD,2284.0
2022,RDU,IAH,7331.0
2022,RDU,JFK,15498.0
2022,RDU,LAX,13603.0
2022,RDU,MIA,15866.0
2022,RDU,ORD,14993.0
2022,RDU,SEA,9934.0
2022,RDU,SFO,9380.0
2023,AUS,ATL,22005.0
2023,AUS,BOS,22609.0
2023,AUS,DFW,7012.0
2023,AUS,DTW,12850.0
2023,AUS,EWR,24903.0
2023,AUS,IAD,12493.0
2023,AUS,IAH,1964.0
2023,AUS,JFK,27322.0
2023,AUS,LAX,42655.0
2023,AUS,MIA,12807.0
2023,AUS,ORD,24736.0
2023,AUS,SEA,21145.0
2023,AUS,SFO,21756.0
2023,BNA,ATL,9222.0
2023,BNA,BOS,24252.0
2023,BNA,DFW,15973.0
2023,BNA,DTW,14398.0
2023,BNA,EWR,21862.0
2023,BNA,IAD,7891.0
2023,BNA,IAH,12140.0
2023,BNA,JFK,10131.0
2023,BNA,LAX,29048.0
2023,BNA,MIA,16369.0
2023,BNA,ORD,20992.0
2023,BNA,SEA,14780.0
2023,BNA,SFO,10049.0
2023,CLE,ATL,24094.0
2023,CLE,BOS,12131.0
2023,CLE,DFW,12219.0
2023,CLE,DTW,413.0
2023,CLE,EWR,12886.0
2023,CLE,IAD,3449.0
2023,CLE,IAH,9437.0
2023,CLE,JFK,4496.0
2023,CLE,LAX,14254.0
2023,CLE,MIA,8894.0
2023,CLE,ORD,12425.0
2023,CLE,SEA,7027.0
2023,CLE,SFO,8581.0
2023,CMH,ATL,13220.0
2023,CMH,BOS,8785.0
2023,CMH,DFW,9677.0
2023,CMH,DTW,678.0
2023,CMH,EWR,8605.0
2023,CMH,IAD,2654.0
2023,CMH,IAH,5267.0
2023,CMH,JFK,5249.0
2023,CMH,LAX,10009.0
2023,CMH,MIA,4744.0
2023,CMH,ORD,9707.0
2023,CMH,SEA,7129.0
2023,CMH,SFO,6030.0
2023,CVG,ATL,9522.0
2023,CVG,BOS,9798.0
2023,CVG,DFW,10961.0
2023,CVG,DTW,1121.0
2023,CVG,EWR,11439.0
2023,CVG,IAD,2368.0
2023,CVG,IAH,7616.0
2023,CVG,JFK,4735.0
2023,CVG,LAX,8687.0
2023,CVG,MIA,8390.0
2023,CVG,ORD,7234.0
2023,CVG,SEA,8022.0
2023,CVG,SFO,4944.0
2023,DAY,ATL,2611.0
2023,DAY,BOS,580.0
2023,DAY,DFW,2834.0
2023,DAY,EWR,225.0
2023,DAY,IAD,1030.0
2023,DAY,IAH,514.0
2023,DAY,JFK,64.0
2023,DAY,LAX,953.0
2023,DAY,MIA,489.0
2023,DAY,ORD,2643.0
2023,DAY,SEA,386.0
2023,DAY,SFO,531.0
2023,IND,ATL,14557.0
2023,IND,BOS,10241.0
2023,IND,DFW,10795.0
2023,IND,DTW,1968.0
2023,IND,EWR,13268.0
2023,IND,IAD,3698.0
2023,IND,IAH,6473.0
2023,IND,JFK,5503.0
2023,IND,LAX,11554.0
2023,IND,MIA,5984.0
2023,IND,ORD,3741.0
2023,IND,SEA,8431.0
2023,IND,SFO,7687.0
2023,PIT,ATL,13266.0
2023,PIT,BOS,13865.0
2023,PIT,DFW,9803.0
2023,PIT,DTW,1493.0
2023,PIT,EWR,11611.0
2023,PIT,IAD,1300.0
2023,PIT,IAH,8458.0
2023,PIT,JFK,3990.0
2023,PIT,LAX,9996.0
2023,PIT,MIA,5491.0
2023,PIT,ORD,9645.0
2023,PIT,SEA,6676.0
2023,PIT,SFO,7266.0
2023,RDU,ATL,19967.0
2023,RDU,BOS,26333.0
2023,RDU,DFW,15600.0
2023,RDU,DTW,8326.0
2023,RDU,EWR,20219.0
2023,RDU,IAD,3208.0
2023,RDU,IAH,9273.0
2023,RDU,JFK,18326.0
2023,RDU,LAX,13637.0
2023,RDU,MIA,15904.0
2023,RDU,ORD,17497.0
2023,RDU,SEA,11110.0
2023,RDU,SFO,12462.0
2024,AUS,ATL,23238.0
2024,AUS,BOS,21650.0
2024,AUS,DFW,6327.0
2024,AUS,DTW,10785.0
2024,AUS,EWR,22689.0
2024,AUS,IAD,10892.0
2024,AUS,IAH,2045.0
2024,AUS,JFK,28031.0
2024,AUS,LAX,36148.0
2024,AUS,MIA,13408.0
2024,AUS,ORD,23466.0
2024,AUS,SEA,21859.0
2024,AUS,SFO,23606.0
2024,BNA,ATL,9212.0
2024,BNA,BOS,27694.0
2024,BNA,DFW,18755.0
2024,BNA,DTW,15755.0
2024,BNA,EWR,21599.0
2024,BNA,IAD,6599.0
2024,BNA,IAH,10525.0
2024,BNA,JFK,12122.0
2024,BNA,LAX,28365.0
2024,BNA,MIA,18493.0
2024,BNA,ORD,22960.0
2024,BNA,SEA,16481.0
2024,BNA,SFO,9352.0
2024,CLE,ATL,18462.0
2024,CLE,BOS,12248.0
2024,CLE,DFW,13199.0
2024,CLE,DTW,405.0
2024,CLE,EWR,11285.0
2024,CLE,IAD,3171.0
2024,CLE,IAH,10546.0
2024,CLE,JFK,5370.0
2024,CLE,LAX,13597.0
2024,CLE,MIA,7901.0
2024,CLE,ORD,13131.0
2024,CLE,SEA,6893.0
2024,CLE,SFO,8273.0
2024,CMH,ATL,13847.0
2024,CMH,BOS,10635.0
2024,CMH,DFW,9879.0
2024,CMH,DTW,750.0
2024,CMH,EWR,9784.0
2024,CMH,IAD,3052.0
2024,CMH,IAH,5180.0
2024,CMH,JFK,5619.0
2024,CMH,LAX,10480.0
2024,CMH,MIA,5008.0
2024,CMH,ORD,10599.0
2024,CMH,SEA,7566.0
2024,CMH,SFO,5555.0
2024,CVG,ATL,11088.0
2024,CVG,BOS,11563.0
2024,CVG,DFW,13514.0
2024,CVG,DTW,1203.0
2024,CVG,EWR,9879.0
2024,CVG,IAD,2876.0
2024,CVG,IAH,8386.0
2024,CVG,JFK,6011.0
2024,CVG,LAX,8341.0
2024,CVG,MIA,8330.0
2024,CVG,ORD,8357.0
2024,CVG,SEA,8235.0
2024,CVG,SFO,5385.0
2024,DAY,ATL,2991.0
2024,DAY,BOS,497.0
2024,DAY,DFW,2779.0
2024,DAY,DTW,2.0
2024,DAY,EWR,219.0
2024,DAY,IAD,1153.0
2024,DAY,IAH,663.0
2024,DAY,JFK,74.0
2024,DAY,LAX,1132.0
2024,DAY,MIA,557.0
2024,DAY,ORD,2411.0
2024,DAY,SEA,387.0
2024,DAY,SFO,523.0
2024,IND,ATL,14120.0
2024,IND,BOS,10330.0
2024,IND,DFW,13494.0
2024,IND,DTW,2054.0
2024,IND,EWR,13702.0
2024,IND,IAD,3933.0
2024,IND,IAH,6780.0
2024,IND,JFK,6561.0
2024,IND,LAX,10556.0
2024,IND,MIA,6873.0
2024,IND,ORD,3941.0
2024,IND,SEA,8870.0
2024,IND,SFO,7844.0
2024,PIT,ATL,14457.0
2024,PIT,BOS,16129.0
2024,PIT,DFW,10756.0
2024,PIT,DTW,1709.0
2024,PIT,EWR,11622.0
2024,PIT,IAD,1480.0
2024,PIT,IAH,8026.0
2024,PIT,JFK,4882.0
2024,PIT,LAX,9984.0
2024,PIT,MIA,5975.0
