DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,CLASS
15.0,15.0,0.0,0.0,1226827.0,229.0,590.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",STL,"St. Louis, MO",6,626,2020,11,G
15.0,15.0,0.0,0.0,1229959.0,844.0,1768.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",IAH,"Houston, TX",6,683,2020,3,G
15.0,15.0,0.0,0.0,1295483.0,261.0,652.0,FX,Federal Express Corporation,FX,Federal Express Corporation,CLE,"Cleveland, OH",IND,"Indianapolis, IN",6,626,2020,11,G
15.0,15.0,0.0,0.0,1363302.0,489.0,923.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",RDU,"Raleigh/Durham, NC",6,626,2020,11,G
15.0,15.0,0.0,0.0,1394036.0,231.0,589.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",DTW,"Detroit, MI",6,626,2020,11,G
15.0,15.0,0.0,0.0,1404489.0,1877.0,3594.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PDX,"Portland, OR",7,740,2020,5,G
15.0,15.0,0.0,0.0,1508566.0,844.0,1763.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",IAH,"Houston, TX",6,683,2020,12,G
15.0,15.0,0.0,0.0,1513139.0,1877.0,3712.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PDX,"Portland, OR",7,740,2020,11,G
15.0,15.0,0.0,0.0,1540154.0,645.0,1172.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",EWR,"Newark, NJ",7,740,2020,4,G
15.0,15.0,0.0,0.0,1762154.0,3020.0,5488.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ANC,"Anchorage, AK",7,740,2020,9,G
15.0,15.0,0.0,0.0,1824530.0,3020.0,5617.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ANC,"Anchorage, AK",7,740,2020,11,G
15.0,15.0,0.0,0.0,1962302.0,3020.0,5299.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ANC,"Anchorage, AK",7,740,2020,7,G
15.0,15.0,750.0,460.0,48.0,370.0,975.0,PT,Piedmont Airlines,PT,Piedmont Airlines,DAY,"Dayton, OH",CLT,"Charlotte, NC",6,675,2020,12,F
15.0,15.0,750.0,472.0,0.0,264.0,785.0,MQ,Envoy Air,MQ,Envoy Air,CVG,"Cincinnati, OH",ORD,"Chicago, IL",6,675,2020,9,F
15.0,15.0,750.0,553.0,0.0,299.0,742.0,C5,CommuteAir LLC dba CommuteAir,C5,"Commutair Aka Champlain Enterprises, Inc.",CMH,"Columbus, OH",IAD,"Washington, DC",6,675,2020,2,F
15.0,15.0,750.0,620.0,0.0,476.0,1033.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,IND,"Indianapolis, IN",IAD,"Washington, DC",6,629,2020,2,F
15.0,15.0,750.0,701.0,0.0,299.0,768.0,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,CMH,"Columbus, OH",IAD,"Washington, DC",6,629,2020,2,F
15.0,15.0,1035.0,312.0,0.0,201.0,634.0,YX,Republic Airline,YX,Republic Airline,PIT,"Pittsburgh, PA",DTW,"Detroit, MI",6,677,2020,11,F
15.0,15.0,1050.0,584.0,0.0,1069.0,2225.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,CVG,"Cincinnati, OH",DEN,"Denver, CO",6,631,2020,12,F
15.0,15.0,1050.0,622.0,0.0,463.0,1095.0,YX,Republic Airline,YX,Republic Airline,CMH,"Columbus, OH",EWR,"Newark, NJ",6,677,2020,1,F
15.0,15.0,1050.0,664.0,0.0,404.0,930.0,YX,Republic Airline,YX,Republic Airline,CLE,"Cleveland, OH",EWR,"Newark, NJ",6,677,2020,11,F
15.0,15.0,1050.0,667.0,0.0,657.0,1537.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,BNA,"Nashville, TN",IAH,"Houston, TX",6,638,2020,6,F
15.0,15.0,1050.0,775.0,0.0,646.0,1558.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,RDU,"Raleigh/Durham, NC",ORD,"Chicago, IL",6,673,2020,9,F
15.0,15.0,1050.0,804.0,0.0,542.0,1186.0,YX,Republic Airline,YX,Republic Airline,BNA,"Nashville, TN",IAD,"Washington, DC",6,677,2020,11,F
15.0,15.0,1050.0,872.0,0.0,388.0,905.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH",IAD,"Washington, DC",6,673,2020,12,F
15.0,15.0,1050.0,906.0,0.0,986.0,2423.0,YX,Republic Airline,YX,Republic Airline,CMH,"Columbus, OH",IAH,"Houston, TX",6,677,2020,2,F
15.0,15.0,1050.0,919.0,0.0,1504.0,2777.0,YX,Republic Airline,YX,Republic Airline,AUS,"Austin, TX",EWR,"Newark, NJ",6,673,2020,12,F
15.0,15.0,1050.0,920.0,0.0,1117.0,2575.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA",IAH,"Houston, TX",6,631,2020,2,F
15.0,15.0,1050.0,964.0,0.0,977.0,2378.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,IND,"Indianapolis, IN",DEN,"Denver, CO",6,673,2020,12,F
15.0,15.0,1050.0,971.0,0.0,1069.0,2483.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",DEN,"Denver, CO",6,677,2020,2,F
15.0,15.0,1134.0,393.0,0.0,411.0,859.0,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH",DCA,"Washington, DC",6,638,2020,11,F
15.0,15.0,1139.0,838.0,0.0,201.0,664.0,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA",DTW,"Detroit, MI",6,638,2020,1,F
15.0,15.0,1140.0,248.0,0.0,726.0,1561.0,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,PIT,"Pittsburgh, PA",MSP,"Minneapolis, MN",6,638,2020,7,F
15.0,15.0,1140.0,446.0,0.0,368.0,869.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,DAY,"Dayton, OH",IAD,"Washington, DC",6,673,2020,3,F
15.0,15.0,1140.0,615.0,0.0,1091.0,2633.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH",IAH,"Houston, TX",6,673,2020,3,F
15.0,15.0,1140.0,697.0,0.0,871.0,1996.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH",IAH,"Houston, TX",6,673,2020,10,F
